campaign_id,campaign_rank_desc,diagnostic_accept_score,campaign_score_percentile_desc,pair_id,image_id,layout_spec_id,feature_snapshot_id
phase1b_architecture_exhibition_visit,1,0.9990590891928869,1.0,phase1b_architecture_exhibition_visit__raw_d3b6daf541__layout_top_left_bottom_left,raw_d3b6daf541,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_d3b6daf541__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,2,0.9977439073444289,0.98,phase1b_architecture_exhibition_visit__raw_ea42a7592c__layout_top_left_bottom_left,raw_ea42a7592c,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_ea42a7592c__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,3,0.9959021176167615,0.96,phase1b_architecture_exhibition_visit__raw_b9b0d9734b__layout_top_left_bottom_left,raw_b9b0d9734b,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_b9b0d9734b__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,4,0.9933644374656584,0.94,phase1b_architecture_exhibition_visit__raw_e72560847a__layout_top_left_bottom_left,raw_e72560847a,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_e72560847a__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,5,0.9928776487485756,0.92,phase1b_architecture_exhibition_visit__raw_c52de39b35__layout_top_left_bottom_left,raw_c52de39b35,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_c52de39b35__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,6,0.9918991211393681,0.9,phase1b_architecture_exhibition_visit__raw_a820c309c8__layout_top_left_bottom_left,raw_a820c309c8,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_a820c309c8__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,7,0.9847582751276244,0.88,phase1b_architecture_exhibition_visit__raw_476995f1f8__layout_top_left_bottom_left,raw_476995f1f8,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_476995f1f8__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,8,0.9846510420582048,0.86,phase1b_architecture_exhibition_visit__raw_5ed5b2d6c4__layout_top_left_bottom_left,raw_5ed5b2d6c4,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_5ed5b2d6c4__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,9,0.9828836839012702,0.84,phase1b_architecture_exhibition_visit__raw_171a797d54__layout_top_left_bottom_left,raw_171a797d54,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_171a797d54__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,10,0.9786074962604369,0.8200000000000001,phase1b_architecture_exhibition_visit__raw_41179036b8__layout_top_left_bottom_left,raw_41179036b8,layout_top_left_bottom_left,feat_v2_2_2__phase1b_architecture_exhibition_visit__raw_41179036b8__layout_top_left_bottom_left
phase1b_autumn_garden_walk,1,0.9908997018509237,1.0,phase1b_autumn_garden_walk__raw_681edda32e__layout_top_left_bottom_left,raw_681edda32e,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_681edda32e__layout_top_left_bottom_left
phase1b_autumn_garden_walk,2,0.9512259517024738,0.98,phase1b_autumn_garden_walk__raw_5fc542c1f1__layout_top_left_bottom_left,raw_5fc542c1f1,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_5fc542c1f1__layout_top_left_bottom_left
phase1b_autumn_garden_walk,3,0.9353139435333216,0.96,phase1b_autumn_garden_walk__raw_208d2d0895__layout_top_left_bottom_left,raw_208d2d0895,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_208d2d0895__layout_top_left_bottom_left
phase1b_autumn_garden_walk,4,0.9145688460409008,0.94,phase1b_autumn_garden_walk__raw_e72560847a__layout_top_left_bottom_left,raw_e72560847a,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_e72560847a__layout_top_left_bottom_left
phase1b_autumn_garden_walk,5,0.9132627027009761,0.92,phase1b_autumn_garden_walk__raw_22d63fd86a__layout_top_left_bottom_left,raw_22d63fd86a,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_22d63fd86a__layout_top_left_bottom_left
phase1b_autumn_garden_walk,6,0.9111781148254116,0.9,phase1b_autumn_garden_walk__raw_5ed5b2d6c4__layout_top_left_bottom_left,raw_5ed5b2d6c4,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_5ed5b2d6c4__layout_top_left_bottom_left
phase1b_autumn_garden_walk,7,0.8962414424305976,0.88,phase1b_autumn_garden_walk__raw_1c06d4ca44__layout_top_left_bottom_left,raw_1c06d4ca44,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_1c06d4ca44__layout_top_left_bottom_left
phase1b_autumn_garden_walk,8,0.869794491746978,0.86,phase1b_autumn_garden_walk__raw_fa45cf89ab__layout_top_left_bottom_left,raw_fa45cf89ab,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_fa45cf89ab__layout_top_left_bottom_left
phase1b_autumn_garden_walk,9,0.8600968291497731,0.84,phase1b_autumn_garden_walk__raw_5c8d450b98__layout_top_left_bottom_left,raw_5c8d450b98,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_5c8d450b98__layout_top_left_bottom_left
phase1b_autumn_garden_walk,10,0.7869775036663234,0.8200000000000001,phase1b_autumn_garden_walk__raw_fd879d0e4e__layout_top_left_bottom_left,raw_fd879d0e4e,layout_top_left_bottom_left,feat_v2_2_2__phase1b_autumn_garden_walk__raw_fd879d0e4e__layout_top_left_bottom_left
phase1b_botanical_spring_program,1,0.9994941524241222,1.0,phase1b_botanical_spring_program__raw_9b34fc0214__layout_top_left_bottom_left,raw_9b34fc0214,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_9b34fc0214__layout_top_left_bottom_left
phase1b_botanical_spring_program,2,0.9970907315196681,0.98,phase1b_botanical_spring_program__raw_e6b27b849a__layout_top_left_bottom_left,raw_e6b27b849a,layout_top_left_bottom_left,feat_v2_2_2__phase1b_botanical_spring_program__raw_e6b27b849a__layout_top_left_bottom_left
