campaign_id,rank,image_id,duplicate_group_id,canonical_image_id,diagnostic_accept_score,campaign_score_percentile_desc,feature_snapshot_id
phase1b_architecture_exhibition_visit,1,raw_c52de39b35,dup_exact_4b0f2c700545,raw_c52de39b35,0.9914950641901527,1.0,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_c52de39b35__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,2,raw_e72560847a,dup_exact_f96ee125e356,raw_e72560847a,0.9816619193655243,0.98,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_e72560847a__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,3,raw_476995f1f8,dup_exact_9c9a9b196a38,raw_476995f1f8,0.9792386830589811,0.96,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_476995f1f8__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,4,raw_ad4baaeb29,dup_exact_623a286a8631,raw_ad4baaeb29,0.9701523419493916,0.94,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_ad4baaeb29__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,5,raw_29a21d3e23,dup_exact_e13651708537,raw_29a21d3e23,0.9624593110506275,0.92,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_29a21d3e23__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,6,raw_41179036b8,dup_exact_c90c21a044aa,raw_22d63fd86a,0.9624521086187219,0.9,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_41179036b8__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,7,raw_171a797d54,dup_exact_47d57c28fa8f,raw_171a797d54,0.9593486152587568,0.88,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_171a797d54__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,8,raw_d3b6daf541,dup_exact_d52b72f2194c,raw_4e6c171e96,0.9581215581822996,0.86,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_d3b6daf541__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,9,raw_98543903d0,dup_exact_fa9bdb8d3b2a,raw_98543903d0,0.954950216056909,0.84,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_98543903d0__layout_top_left_bottom_left
phase1b_architecture_exhibition_visit,10,raw_22d63fd86a,dup_exact_c90c21a044aa,raw_22d63fd86a,0.9360783622083206,0.8200000000000001,feat_v2_2_5__phase1b_architecture_exhibition_visit__raw_22d63fd86a__layout_top_left_bottom_left
phase1b_autumn_garden_walk,1,raw_1c06d4ca44,dup_exact_2a679319bd4e,raw_1c06d4ca44,0.9552160970474983,1.0,feat_v2_2_5__phase1b_autumn_garden_walk__raw_1c06d4ca44__layout_top_left_bottom_left
phase1b_autumn_garden_walk,2,raw_5fc542c1f1,dup_exact_6f0afc346cca,raw_5fc542c1f1,0.9525734980665381,0.98,feat_v2_2_5__phase1b_autumn_garden_walk__raw_5fc542c1f1__layout_top_left_bottom_left
phase1b_autumn_garden_walk,3,raw_208d2d0895,dup_exact_4c90c15d9806,raw_208d2d0895,0.948711525063406,0.96,feat_v2_2_5__phase1b_autumn_garden_walk__raw_208d2d0895__layout_top_left_bottom_left
phase1b_autumn_garden_walk,4,raw_fa45cf89ab,dup_exact_0030f4c538c7,raw_fa45cf89ab,0.9115944648035044,0.94,feat_v2_2_5__phase1b_autumn_garden_walk__raw_fa45cf89ab__layout_top_left_bottom_left
phase1b_autumn_garden_walk,5,raw_5c8d450b98,dup_exact_35494607d5cb,raw_5c8d450b98,0.9109778453840668,0.92,feat_v2_2_5__phase1b_autumn_garden_walk__raw_5c8d450b98__layout_top_left_bottom_left
phase1b_autumn_garden_walk,6,raw_22d63fd86a,dup_exact_c90c21a044aa,raw_22d63fd86a,0.9076482147863235,0.9,feat_v2_2_5__phase1b_autumn_garden_walk__raw_22d63fd86a__layout_top_left_bottom_left
