embedding_row,image_id,path,resolved_path,category,source_group,place_name,subject_name,model_name,embedding_version,embedding_dim
0,raw_1e0c34f4ae,arbor/flower/맥문동/nature7_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/맥문동/nature7_1.jpg,arbor,flower,,맥문동,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
1,raw_bc5f26f1fa,arbor/flower/산딸기/nature13_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/산딸기/nature13_1.jpg,arbor,flower,,산딸기,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
2,raw_0a5bd0d204,arbor/flower/산수국/nature11_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/산수국/nature11_1.jpg,arbor,flower,,산수국,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
3,raw_0265165be9,arbor/flower/산수국/nature11_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/산수국/nature11_2.jpg,arbor,flower,,산수국,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
4,raw_c310b5be34,arbor/flower/수련/nature10_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/수련/nature10_1.jpg,arbor,flower,,수련,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
5,raw_ebe21d1cfd,arbor/flower/수련/nature10_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/수련/nature10_2.jpg,arbor,flower,,수련,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
6,raw_a872414c95,arbor/flower/쑥부쟁이/nature17_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/쑥부쟁이/nature17_1.jpg,arbor,flower,,쑥부쟁이,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
7,raw_7d25734664,arbor/flower/잔대/nature6_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/잔대/nature6_1.jpg,arbor,flower,,잔대,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
8,raw_c9fb41f69a,arbor/flower/잔대/nature6_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/잔대/nature6_2.jpg,arbor,flower,,잔대,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
9,raw_787ceac869,arbor/flower/진달래/nature15_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/진달래/nature15_1.jpg,arbor,flower,,진달래,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
10,raw_d5d3c67349,arbor/flower/참나리/nature5_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/참나리/nature5_1.jpg,arbor,flower,,참나리,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
11,raw_a0ba1b33b2,arbor/flower/참나리/nature5_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/참나리/nature5_2.jpg,arbor,flower,,참나리,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
12,raw_d33f8a9f18,arbor/flower/참취/nature16_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/참취/nature16_1.jpg,arbor,flower,,참취,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
13,raw_62d8284f86,arbor/tree/감나무/nature9_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/감나무/nature9_1.jpg,arbor,tree,,감나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
14,raw_7885a42d00,arbor/tree/감나무/nature9_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/감나무/nature9_2.jpg,arbor,tree,,감나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
15,raw_208d2d0895,arbor/tree/느티나무/nature3_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/느티나무/nature3_1.jpg,arbor,tree,,느티나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
16,raw_1a9d7aebc4,arbor/tree/느티나무/nature3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/느티나무/nature3_2.jpg,arbor,tree,,느티나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
17,raw_ffb8abb1a8,arbor/tree/리기다소나무/nature19_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/리기다소나무/nature19_1.jpg,arbor,tree,,리기다소나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
18,raw_f780aa4ac0,arbor/tree/매화나무/nature8_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/매화나무/nature8_1.jpg,arbor,tree,,매화나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
19,raw_ee1fcb1b36,arbor/tree/모과나무/nature1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/모과나무/nature1_1.jpg,arbor,tree,,모과나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
20,raw_ad26a620af,arbor/tree/모과나무/nature1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/모과나무/nature1_2.jpg,arbor,tree,,모과나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
21,raw_efe4c4c060,arbor/tree/배롱나무/nature2_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/배롱나무/nature2_1.jpg,arbor,tree,,배롱나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
22,raw_88ef9cd227,arbor/tree/배롱나무/nature2_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/tree/배롱나무/nature2_2.jpg,arbor,tree,,배롱나무,openai/clip-vit-base-patch32,clip_openai_vit_base_patch32_v1,512
