queue_id,cluster_level,cluster_id,cluster_size,representative_image_ids,space_axis_tags,temporal_axis_tags,weather_light_axis_tags,subject_axis_tags,mood_axis_tags,usage_axis_tags,design_affordance_axis_tags,confidence_status,notes
cluster_label_queue_v1__coarse__coarse_20_0000,coarse,coarse_20_0000,4,raw_4e39435909|raw_2eaf462c16|raw_d9022526d3|raw_1eeb7232a9,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0001,coarse,coarse_20_0001,7,raw_97eb3ef7cd|raw_af7ef5a4c3|raw_01461f5add|raw_171a797d54|raw_dbc4569a46,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0002,coarse,coarse_20_0002,6,raw_f87d58016b|raw_66d595ed3e|raw_297d31b4ef|raw_3abab99064|raw_1a9d7aebc4,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0003,coarse,coarse_20_0003,11,raw_61fc86118e|raw_7f5320f89f|raw_735aba25cc|raw_95003c4a96|raw_553035c3d0,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0004,coarse,coarse_20_0004,21,raw_572e8cc431|raw_03979ecf06|raw_448aa545e9|raw_d1b48c4dcb|raw_2a834b6409,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0005,coarse,coarse_20_0005,14,raw_502843a887|raw_c9fb41f69a|raw_d33f8a9f18|raw_1e0c34f4ae|raw_bc5f26f1fa,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0006,coarse,coarse_20_0006,26,raw_ff74488cd9|raw_9d4a2beade|raw_a2e4454028|raw_2d2dd65cb0|raw_8d5bb10a16,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0007,coarse,coarse_20_0007,25,raw_9fe8761d5a|raw_7a7dc4ec93|raw_ade5896e2e|raw_7400374ac0|raw_c2e785628f,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0008,coarse,coarse_20_0008,11,raw_208d2d0895|raw_0265165be9|raw_3a5d8f8832|raw_ffb8abb1a8|raw_6b7da5b76b,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0009,coarse,coarse_20_0009,14,raw_2f24639a54|raw_6e52d00c71|raw_c01d2de4c0|raw_1706a44540|raw_d64c6196f5,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0010,coarse,coarse_20_0010,2,raw_c310b5be34|raw_ebe21d1cfd,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0011,coarse,coarse_20_0011,5,raw_681edda32e|raw_0a5bd0d204|raw_19c9aa3ffa|raw_c2c0208981|raw_b37dfe627b,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0012,coarse,coarse_20_0012,9,raw_277a82318c|raw_4e6c171e96|raw_38bfd0e4cd|raw_2c3293b2b9|raw_bfd9e19ca6,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0013,coarse,coarse_20_0013,8,raw_e6b27b849a|raw_efe4c4c060|raw_d206795824|raw_e1064a803d|raw_04cecb0a9c,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0014,coarse,coarse_20_0014,14,raw_721e07ba0a|raw_31b278973b|raw_4584fbd0b1|raw_5714fe4daf|raw_4b11a22112,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0015,coarse,coarse_20_0015,10,raw_39a0295efc|raw_5ed5b2d6c4|raw_22d63fd86a|raw_3375f5ca20|raw_ab1479ebb7,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0016,coarse,coarse_20_0016,6,raw_faf2998d9e|raw_172c623e65|raw_0600563ca5|raw_3458f4c869|raw_f75d8b6c40,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0017,coarse,coarse_20_0017,6,raw_4c231302c4|raw_09572549a0|raw_67ac209ecc|raw_e9b4c4e62c|raw_83afcab58c,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0018,coarse,coarse_20_0018,2,raw_a0ba1b33b2|raw_d5d3c67349,,,,,,,,human_cluster_label_pending,
cluster_label_queue_v1__coarse__coarse_20_0019,coarse,coarse_20_0019,5,raw_0f37eb334a|raw_ad26a620af|raw_3431004177|raw_1c06d4ca44|raw_c3f434c77f,,,,,,,,human_cluster_label_pending,
