queue_id,queue_row_id,queue_stage,source_bucket,campaign_id,pair_id,image_id,duplicate_group_id,feature_snapshot_id,layout_spec_id,image_path,resolved_path,category,source_group,place_name,subject_name,diagnostic_model_score,clip_margin,clip_positive_max_sim,clip_negative_max_sim,clip_rank_percentile,required_region_safe_mean,required_region_safe_min,title_region_safe_score,info_region_safe_score,dinov2_cluster_id_coarse,dinov2_cluster_id_mid,dinov2_cluster_id_fine,preview_path,decision,issue_tags,preference_rank,notes,image_category_gallery,image_category_tree,image_category_flower,image_category_course,path_has_architecture,path_has_garden,decision_label
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0001,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_34da4bc897__layout_top_left_bottom_left,raw_34da4bc897,dup_exact_38106b9781dd,feat_v2_2_1__phase1b_botanical_spring_program__raw_34da4bc897,layout_top_left_bottom_left,gallery/건축/몽몽미방/space7_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_1_1.jpg,gallery,건축,몽몽미방,,,0.0902685821056366,0.2846162319183349,0.1943476498126983,0.980487823486328,0.4731707317073171,0.0292682926829268,0.0292682926829268,0.9170731707317074,coarse_20_0004,mid_100_0064,fine_182_0080,,0,season_mismatch,,봄 아님; 확실한 계절 mismatch 또는 봄 개화 시기와 맞지 않음,1.0,0.0,0.0,0.0,1.0,0.0,reject
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0002,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_22d63fd86a__layout_top_left_bottom_left,raw_22d63fd86a,dup_exact_c90c21a044aa,feat_v2_2_1__phase1b_botanical_spring_program__raw_22d63fd86a,layout_top_left_bottom_left,gallery/건축/유원/space5_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/space5_3_2.jpg,gallery,건축,유원,,,0.0752753764390945,0.2903265655040741,0.2150511890649795,0.995121955871582,0.0634146341463414,0.0536585365853658,0.073170731707317,0.0536585365853658,coarse_20_0015,mid_100_0004,fine_182_0063,,1,,,,1.0,0.0,0.0,0.0,1.0,0.0,acceptable
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0003,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_9d0d132603__layout_top_left_bottom_left,raw_9d0d132603,dup_exact_6e9a8dfc5211,feat_v2_2_1__phase1b_botanical_spring_program__raw_9d0d132603,layout_top_left_bottom_left,gallery/건축/유원/space5_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/space5_4_1.jpg,gallery,건축,유원,,,0.0707166939973831,0.2759726941585541,0.2052560001611709,0.9365853667259216,0.1390243902439024,0.1073170731707317,0.1707317073170731,0.1073170731707317,coarse_20_0015,mid_100_0055,fine_182_0070,,0,season_mismatch,,봄 아님; 확실한 계절 mismatch 또는 봄 개화 시기와 맞지 않음,1.0,0.0,0.0,0.0,1.0,0.0,reject
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0004,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_8c0863102b__layout_top_left_bottom_left,raw_8c0863102b,dup_exact_885715933374,feat_v2_2_1__phase1b_botanical_spring_program__raw_8c0863102b,layout_top_left_bottom_left,gallery/건축/소요헌/space3_4_6.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_4_6.jpg,gallery,건축,소요헌,,,0.0687782019376754,0.2706605792045593,0.2018823772668838,0.8926829099655151,0.551219512195122,0.4439024390243902,0.6585365853658537,0.4439024390243902,coarse_20_0007,mid_100_0065,fine_182_0163,,1,,,,1.0,0.0,0.0,0.0,1.0,0.0,acceptable
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0005,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_e72560847a__layout_top_left_bottom_left,raw_e72560847a,dup_exact_f96ee125e356,feat_v2_2_1__phase1b_botanical_spring_program__raw_e72560847a,layout_top_left_bottom_left,gallery/건축/유원/유원.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/유원.jpg,gallery,건축,유원,,,0.0681316405534744,0.2863670885562897,0.2182354480028152,0.990243911743164,0.248780487804878,0.2439024390243902,0.2536585365853658,0.2439024390243902,coarse_20_0015,mid_100_0051,fine_182_0155,,0,season_mismatch,,봄 아님; 확실한 계절 mismatch 또는 봄 개화 시기와 맞지 않음,1.0,0.0,0.0,0.0,1.0,0.0,reject
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0006,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_e1064a803d__layout_top_left_bottom_left,raw_e1064a803d,dup_exact_0ebb91e1a6e4,feat_v2_2_1__phase1b_botanical_spring_program__raw_e1064a803d,layout_top_left_bottom_left,gallery/정원/별유동천/space9_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_1_2.jpg,gallery,정원,별유동천,,,0.067869484424591,0.2729750275611877,0.2051055431365966,0.9121951460838318,0.0682926829268292,0.0097560975609756,0.1268292682926829,0.0097560975609756,coarse_20_0013,mid_100_0009,fine_182_0044,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0007,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_0c55ceb0d6__layout_top_left_bottom_left,raw_0c55ceb0d6,dup_exact_29d5f027731f,feat_v2_2_1__phase1b_botanical_spring_program__raw_0c55ceb0d6,layout_top_left_bottom_left,gallery/건축/소요헌/space3_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/소요헌/space3_1_2.jpg,gallery,건축,소요헌,,,0.0667500644922256,0.2616012394428253,0.1948511749505996,0.8097561001777649,0.0878048780487804,0.0195121951219512,0.0195121951219512,0.1560975609756097,coarse_20_0006,mid_100_0067,fine_182_0097,,0,season_mismatch,,봄 아님; 확실한 계절 mismatch 또는 봄 개화 시기와 맞지 않음,1.0,0.0,0.0,0.0,1.0,0.0,reject
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0008,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_a0ba1b33b2__layout_top_left_bottom_left,raw_a0ba1b33b2,dup_exact_1f0a4a93bf0f,feat_v2_2_1__phase1b_botanical_spring_program__raw_a0ba1b33b2,layout_top_left_bottom_left,arbor/flower/참나리/nature5_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/참나리/nature5_2.jpg,arbor,flower,,참나리,,0.0637969970703125,0.262792557477951,0.1989955604076385,0.8292682766914368,0.4,0.1707317073170731,0.6292682926829268,0.1707317073170731,coarse_20_0018,mid_100_0027,fine_182_0027,,0,season_mismatch,,봄 아님; 확실한 계절 mismatch 또는 봄 개화 시기와 맞지 않음,0.0,0.0,1.0,0.0,0.0,0.0,reject
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0009,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_39a0295efc__layout_top_left_bottom_left,raw_39a0295efc,dup_exact_781f043e9a4b,feat_v2_2_1__phase1b_botanical_spring_program__raw_39a0295efc,layout_top_left_bottom_left,gallery/정원/유원/space5_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/유원/space5_1_1.jpg,gallery,정원,유원,,,0.063280701637268,0.2817601561546325,0.2184794545173645,0.9707317352294922,0.1975609756097561,0.1560975609756097,0.2390243902439024,0.1560975609756097,coarse_20_0015,mid_100_0051,fine_182_0176,,0,season_mismatch,,봄 아님; 확실한 계절 mismatch 또는 봄 개화 시기와 맞지 않음,1.0,0.0,0.0,0.0,0.0,1.0,reject
review_queue_phase1b_v1__phase1b_botanical_spring_program,review_queue_phase1b_v1__phase1b_botanical_spring_program_0010,cold_start,clip_high_model_low,phase1b_botanical_spring_program,phase1b_botanical_spring_program__raw_4e6c171e96__layout_top_left_bottom_left,raw_4e6c171e96,dup_exact_d52b72f2194c,feat_v2_2_1__phase1b_botanical_spring_program__raw_4e6c171e96,layout_top_left_bottom_left,gallery/건축/몽몽미방/space7_4_5.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_5.jpg,gallery,건축,몽몽미방,,,0.0625534206628799,0.2726724743843078,0.2101190537214279,0.9024389982223512,0.1268292682926829,0.0390243902439024,0.2146341463414634,0.0390243902439024,coarse_20_0012,mid_100_0033,fine_182_0032,,0,semantic_mismatch,,식물 아님,1.0,0.0,0.0,0.0,1.0,0.0,reject
