queue_id,queue_row_id,queue_stage,source_bucket,campaign_id,pair_id,image_id,duplicate_group_id,feature_snapshot_id,layout_spec_id,image_path,resolved_path,category,source_group,place_name,subject_name,diagnostic_model_score,clip_margin,clip_positive_max_sim,clip_negative_max_sim,clip_rank_percentile,required_region_safe_mean,required_region_safe_min,title_region_safe_score,info_region_safe_score,dinov2_cluster_id_coarse,dinov2_cluster_id_mid,dinov2_cluster_id_fine,preview_path,decision,issue_tags,preference_rank,notes,image_category_gallery,image_category_tree,image_category_flower,image_category_course,path_has_architecture,path_has_garden,decision_label
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0001,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_e1064a803d__layout_top_left_bottom_left,raw_e1064a803d,dup_exact_0ebb91e1a6e4,feat_v2_2_1__phase1b_summer_garden_walk__raw_e1064a803d,layout_top_left_bottom_left,gallery/정원/별유동천/space9_1_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_1_2.jpg,gallery,정원,별유동천,,,0.0686591267585754,0.2796180844306946,0.2109589576721191,0.9707317352294922,0.0682926829268292,0.0097560975609756,0.1268292682926829,0.0097560975609756,coarse_20_0013,mid_100_0009,fine_182_0044,,1,,,,1.0,0.0,0.0,0.0,0.0,1.0,acceptable
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0002,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_22d63fd86a__layout_top_left_bottom_left,raw_22d63fd86a,dup_exact_c90c21a044aa,feat_v2_2_1__phase1b_summer_garden_walk__raw_22d63fd86a,layout_top_left_bottom_left,gallery/건축/유원/space5_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/space5_3_2.jpg,gallery,건축,유원,,,0.0673334151506424,0.2903265655040741,0.2229931503534317,0.990243911743164,0.0634146341463414,0.0536585365853658,0.073170731707317,0.0536585365853658,coarse_20_0015,mid_100_0004,fine_182_0063,,2,,,,1.0,0.0,0.0,0.0,1.0,0.0,accept
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0003,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_780275f394__layout_top_left_bottom_left,raw_780275f394,dup_exact_df8beaf82173,feat_v2_2_1__phase1b_summer_garden_walk__raw_780275f394,layout_top_left_bottom_left,gallery/정원/별유동천/space9_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_4_1.jpg,gallery,정원,별유동천,,,0.0631051212549209,0.2657137513160705,0.2026086300611496,0.8536585569381714,0.0902439024390243,0.0536585365853658,0.0536585365853658,0.1268292682926829,coarse_20_0013,mid_100_0009,fine_182_0169,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0004,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_a0ba1b33b2__layout_top_left_bottom_left,raw_a0ba1b33b2,dup_exact_1f0a4a93bf0f,feat_v2_2_1__phase1b_summer_garden_walk__raw_a0ba1b33b2,layout_top_left_bottom_left,arbor/flower/참나리/nature5_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/arbor/flower/참나리/nature5_2.jpg,arbor,flower,,참나리,,0.0614900738000869,0.262792557477951,0.201302483677864,0.8097561001777649,0.4,0.1707317073170731,0.6292682926829268,0.1707317073170731,coarse_20_0018,mid_100_0027,fine_182_0027,,0,semantic_mismatch,,정원 아님,0.0,0.0,1.0,0.0,0.0,0.0,reject
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0005,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_50d3d9c9da__layout_top_left_bottom_left,raw_50d3d9c9da,dup_exact_c0ae56ade264,feat_v2_2_1__phase1b_summer_garden_walk__raw_50d3d9c9da,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_4_4.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_4_4.jpg,gallery,정원,풍설기천년,,,0.0567685961723327,0.2713934183120727,0.21462482213974,0.9170731902122498,0.2902439024390243,0.0878048780487804,0.4926829268292683,0.0878048780487804,coarse_20_0014,mid_100_0083,fine_182_0075,,1,,,,1.0,0.0,0.0,0.0,0.0,1.0,acceptable
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0006,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_9d0d132603__layout_top_left_bottom_left,raw_9d0d132603,dup_exact_6e9a8dfc5211,feat_v2_2_1__phase1b_summer_garden_walk__raw_9d0d132603,layout_top_left_bottom_left,gallery/건축/유원/space5_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/space5_4_1.jpg,gallery,건축,유원,,,0.0541349202394485,0.274846076965332,0.2207111567258834,0.9365853667259216,0.1390243902439024,0.1073170731707317,0.1707317073170731,0.1073170731707317,coarse_20_0015,mid_100_0055,fine_182_0070,,0,season_mismatch,,여름 아님,1.0,0.0,0.0,0.0,1.0,0.0,reject
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0007,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_19c9aa3ffa__layout_top_left_bottom_left,raw_19c9aa3ffa,dup_exact_39d154f18e8e,feat_v2_2_1__phase1b_summer_garden_walk__raw_19c9aa3ffa,layout_top_left_bottom_left,gallery/건축/몽몽미방/space7_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_1.jpg,gallery,건축,몽몽미방,,,0.0537926405668258,0.2706528007984161,0.2168601602315902,0.9073171019554138,0.424390243902439,0.2536585365853658,0.2536585365853658,0.5951219512195122,coarse_20_0011,mid_100_0022,fine_182_0013,,1,,,,1.0,0.0,0.0,0.0,1.0,0.0,acceptable
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0008,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_9b34fc0214__layout_top_left_bottom_left,raw_9b34fc0214,dup_exact_4f3e767139ec,feat_v2_2_1__phase1b_summer_garden_walk__raw_9b34fc0214,layout_top_left_bottom_left,gallery/정원/별유동천/space9_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_1_1.jpg,gallery,정원,별유동천,,,0.0534184128046035,0.2792005240917206,0.225782111287117,0.9609755873680116,0.4414634146341463,0.1219512195121951,0.7609756097560976,0.1219512195121951,coarse_20_0013,mid_100_0009,fine_182_0114,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0009,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_e6b27b849a__layout_top_left_bottom_left,raw_e6b27b849a,dup_exact_524a030305ad,feat_v2_2_1__phase1b_summer_garden_walk__raw_e6b27b849a,layout_top_left_bottom_left,gallery/정원/별유동천/space9_4_3.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/별유동천/space9_4_3.jpg,gallery,정원,별유동천,,,0.0529761612415313,0.277097225189209,0.2241210639476776,0.9512194991111756,0.1195121951219512,0.0878048780487804,0.0878048780487804,0.1512195121951219,coarse_20_0013,mid_100_0009,fine_182_0171,,2,,,,1.0,0.0,0.0,0.0,0.0,1.0,accept
review_queue_phase1b_v1__phase1b_summer_garden_walk,review_queue_phase1b_v1__phase1b_summer_garden_walk_0010,cold_start,clip_high_model_low,phase1b_summer_garden_walk,phase1b_summer_garden_walk__raw_4e6c171e96__layout_top_left_bottom_left,raw_4e6c171e96,dup_exact_d52b72f2194c,feat_v2_2_1__phase1b_summer_garden_walk__raw_4e6c171e96,layout_top_left_bottom_left,gallery/건축/몽몽미방/space7_4_5.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_5.jpg,gallery,건축,몽몽미방,,,0.0523739457130432,0.2675702273845672,0.215196281671524,0.8926829099655151,0.1268292682926829,0.0390243902439024,0.2146341463414634,0.0390243902439024,coarse_20_0012,mid_100_0033,fine_182_0032,,0,semantic_mismatch,,정원 아님,1.0,0.0,0.0,0.0,1.0,0.0,reject
